Dayde = D,Omar = O,Jacob = J,Chedy = Cs,Chengrong = Cz,,,,
Sprint Velocity: 20 story points per sprint,,,,Oct. 24,Oct. 25,Oct.26,Oct. 27,Oct. 28
User Story,Task,Dependencies,Story Points,1,2,3,4,5
1,1,,1,,,,,
1,2,1,1,,,,,
1,3,,1,,,,,
1,4,"1,3",2,,,,,
1,5,"1, 2, 3",2,,,,,
2,6,"1, 2, 3",3,,,,,
2,7,"1, 2, 3",3,,,,,
3,8,"2, 4",2,,,,,
3,9,"1, 2, 3",2,,,,,
4,10,7,1,,,,,
4,11,"1, 2, 3",2,,,,,
5,12,7,2,Cs:1,Cs:1,,,
5,13,,1,O:1,,,,
5,14,13,1,,O:1,,,
5,15,"16, 19, 22",3,,,Cs: 1,Cs: 1,Cs: 1
5,16,18,1,,,,,O:1
5,17,,1,,,O:1,,
5,18,17,2,,,O:1,O:1,
5,19,,1,,J:1,,,
5,20,,1,J:1,,,,
5,21,20,2,,,J:1,J:1,
5,22,,1,,,,,
5,23,,1,,,Cz:1,,
5,24,23,1,,,,Cz:1,
6,25,,1,,,,D:1,
6,26,,3,,,,D:1,D:2
6,27,26,2,,,,,
6,28,26,2,,,,,
6,29,26,2,,,,,
6,30,"14, 26",1,,,,,
