,,,,,,,,,
,Tasks,Story Points,Dependency,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5
,1,1,,20,19,14,10,9,1
,2,1,1,,,,,,
,3,1,,,,,,,
,4,2,"1,3",,,,,,
,5,2,"1, 2, 3",,,,,,
,6,3,"1, 2, 3",,,,,,
,7,3,"1, 2, 3",,,,,,
,8,2,"2, 4",,,,,,
,9,2,"1, 2, 3",,,,,,
,10,1,7,,,,,,
,11,2,"1, 2, 3",,,,,,
,12,2,7,,,,,,
,13,1,,,,,,,
,14,1,13,,,,,,
,15,6,"16, 19, 22",,,,,,
,16,1,18,,,,,,
,17,1,,,,,,,
,18,2,17,,,,,,
,19,1,,,,,,,
,20,1,,,,,,,
,21,2,20,,,,,,
,22,1,,,,,,,
,23,1,,,,,,,
,24,1,23,,,,,,
,25,1,,,,,,,
,26,3,,,,,,,
,27,2,26,,,,,,
,28,2,26,,,,,,
,29,2,26,,,,,,
,30,1,"14, 26",,,,,,
,31,2,28,,,,,,
